study,Author,Year,hr,lb,ub,metric,pop,region
Lipsett et al. 2011,Lipsett,2011,1.0040 ,0.9800 ,1.0150 ,ADA24,USA,North America
Jerrett et al. 2013,Jerrett,2013,1.0100 ,0.9900 ,1.0220 ,ADA24,USA,North America
Bentayeb et al. 2015,Bentayeb,2015,0.8060 ,0.3430 ,1.8860 ,6mDMA8,France,Europe
Crouse et al. 2015,Crouse,2015,1.0400 ,1.0250 ,1.0550 ,6mDMA8,Canada,North America
Turner et al. 2016,Turner,2016,1.0250 ,1.0190 ,1.0430 ,6mDMA8,USA,North America
Hvidtfeldt et al. 2019,Hvidtfeldt,2019,0.8780 ,0.8170 ,0.9590 ,ADA24,Denmark,Europe
Lim et al. 2019,Lim,2019,1.0200 ,0.9900 ,1.0300 ,6mDMA8,USA,North America
Paul et al. 2020,Paul,2020,1.1050 ,1.0780 ,1.1330 ,6mDMA8,Cananda,North America
Strak et al. 2021,Strak,2021,0.8680 ,0.8300 ,0.9090 ,6mDMA8,Multiple,Europe
Bauwelinck et al. 2022,Bauwelinck,2022,1.0500 ,1.0220 ,1.0760 ,6mDMA8,Belgium,Europe
Stafoggia et al. 2022,Stafoggia,2022,0.9540 ,0.9120 ,0.9960 ,6mDMA8,Multiple,Europe
So et al. 2022,So et al.,2022,0.9420 ,0.8860 ,0.9800 ,6mDMA8,Denmark,Europe
Liu et al. 2022,Liu et al.,2022,1.2490 ,1.0600 ,1.5000 ,6mDMA8,China,Asia
Niu et al. 2022,Niu et al.,2022,1.2140 ,1.0660 ,1.3830 ,6mDMA8,China,Asia